"ClusterId","x","y","z"
1,0.15641,1.0664,0.039654
1,-0.035318,-0.39263,0.27415
1,-0.13946,0.32615,-0.13994
1,0.30758,-0.016548,0.42477
1,-0.14741,0.00051356,0.14801
1,-0.63157,-0.040756,0.73608
1,0.91654,-0.20122,-0.71774
1,0.45668,0.41487,0.27911
1,-0.91898,-0.33584,-0.64608
1,-1.3619,1.1332,-1.4864
1,-0.86941,-0.6296,0.41392
1,0.53658,0.44684,-0.6382
1,-1.705,0.90683,0.65591
1,-0.95629,-0.3582,-0.66383
1,-0.15205,-0.26453,0.53377
1,0.94549,-0.11718,0.43619
1,0.32407,0.02854,-0.69124
1,-0.30649,-0.63535,-0.027184
1,-0.40642,0.4653,-0.20184
1,0.096062,-0.2864,0.94043
1,-0.34453,1.3248,-1.0365
1,-0.36428,0.24671,1.0542
1,0.21306,0.10417,0.049062
1,-0.90735,0.64928,0.15587
1,-0.52501,0.061776,0.47499
1,-0.071323,0.038151,0.0031564
1,0.23429,0.51033,-0.42926
1,-0.039877,-0.14133,-0.10047
1,-0.22954,0.42524,-0.56722
1,-0.15941,0.21167,0.11997
1,0.0028122,-0.000632,-0.00054963
1,-0.079316,0.045458,0.041587
1,-0.67423,-0.69657,0.57425
1,-1.249,0.61207,1.2558
1,-0.10651,0.13447,0.23049
1,-0.57767,-0.33651,0.34384
1,0.20762,1.2472,0.16843
1,-0.49107,0.7742,0.23919
1,0.64173,-0.23428,-0.57867
1,-0.66701,0.56412,-0.22337
1,-0.021993,-0.05566,-0.057655
1,0.54974,-1.218,0.8516
1,0.010646,-0.011259,0.0011977
1,-0.035065,-0.04786,-0.025313
1,0.097015,-0.075461,-0.12345
1,0.52958,-0.73717,-0.045467
1,-0.0020239,0.001645,0.0031097
1,0.18835,1.376,1.175
1,0.018833,-0.051666,0.063213
1,-1.5506,0.33259,-0.47613
1,-0.045653,0.054926,-0.17975
1,-0.51368,0.53056,-1.0924
1,0.1139,-1.2948,1.4224
1,-0.44916,0.44855,0.70574
1,0.032437,-0.063088,-0.040054
1,0.21962,-0.17554,-0.096135
1,0.41063,-0.51104,-0.16171
1,-0.017679,0.034136,-0.14202
1,-0.13778,-0.49109,0.053452
1,-0.62407,-0.12736,0.58372
1,0.33186,-0.33439,0.0066943
1,-0.0048329,-0.0028299,0.0050874
1,-0.75791,0.45246,-0.41911
1,-1.047,0.65146,-0.91759
1,0.071785,-0.22846,0.52092
1,0.13455,-0.67356,0.36331
1,-0.099905,-0.040671,-0.071201
1,-0.85581,0.93702,-1.3475
1,0.19282,0.19963,0.13952
1,-0.33958,-0.30451,0.72515
1,-0.032774,0.013705,-0.01539
1,-0.16597,-0.0306,-0.16112
1,1.2562,-0.11445,1.4704
1,-0.013752,-0.051656,0.0066056
1,0.2588,0.052456,0.17846
