"Tree00","Tree01","Tree02","Tree03","Tree04","Tree05","Tree06","Tree07","Tree08","Tree09","Tree10","Tree11","Tree12","Tree13","Tree14","treeID","ClusterAssignment","ParentBlockId","Component_0","Component_1","Points:0","Points:1","Points:2"
0,2.5632,6.9485,7.8084,10.429,8.3836,7.4865,6.1679,5.6842,7.9843,9.9933,12.124,8.9349,8.0724,4.3081,0,2,0,-0.09347,1.1603,-0.09347,1.1603,0
2.5632,0,4.4734,5.3246,7.9296,5.8848,5.0083,3.7343,8.1837,10.473,12.504,14.637,11.447,5.5787,1.8641,1,2,0,-0.15986,-1.4432,-0.15986,-1.4432,0
6.9485,4.4734,0,1.2068,3.6438,1.7383,1.0771,1.3966,12.571,14.861,16.887,19.018,15.827,1.491,2.6972,2,2,0,1.1321,-5.6829,1.1321,-5.6829,0
7.8084,5.3246,1.2068,0,2.8975,1.1071,0.98034,1.9803,13.418,15.707,17.743,19.87,16.677,1.0801,3.5498,3,2,0,1.9808,-6.2827,1.9808,-6.2827,0
10.429,7.9296,3.6438,2.8975,0,2.3292,3.0796,4.4966,16.078,18.373,20.397,22.53,19.338,2.3976,6.1568,4,1,0,3.6055,-8.5153,3.6055,-8.5153,0
8.3836,5.8848,1.7383,1.1071,2.3292,0,1.3575,2.4489,13.99,16.28,18.322,20.447,17.259,0.92742,4.1612,5,1,0,2.3539,-6.8526,2.3539,-6.8526,0
7.4865,5.0083,1.0771,0.98034,3.0796,1.3575,0,1.7387,13.109,15.395,17.434,19.567,16.374,0.95077,3.2291,6,1,0,2.1395,-5.8308,2.1395,-5.8308,0
6.1679,3.7343,1.3966,1.9803,4.4966,2.4489,1.7387,0,11.75,14.035,16.074,18.202,15.012,2.248,2.0802,7,1,0,0.39811,-5.051,0.39811,-5.051,0
5.6842,8.1837,12.571,13.418,16.078,13.99,13.109,11.75,0,2.3641,4.3827,6.5045,3.3169,13.721,9.9575,8,0,0,-2.6016,6.3529,-2.6016,6.3529,0
7.9843,10.473,14.861,15.707,18.373,16.28,15.395,14.035,2.3641,0,2.2194,4.2494,1.2099,16.015,12.251,9,0,0,-1.9978,8.8414,-1.9978,8.8414,0
9.9933,12.504,16.887,17.743,20.397,18.322,17.434,16.074,4.3827,2.2194,0,2.1989,1.1403,18.041,14.271,10,0,0,-2.039,10.922,-2.039,10.922,0
12.124,14.637,19.018,19.87,22.53,20.447,19.567,18.202,6.5045,4.2494,2.1989,0,3.2103,20.173,16.404,11,0,0,-3.4803,12.785,-3.4803,12.785,0
