"X", "Y"
0.35744796,-0.84099846
0.07209536,0.28371233
0.19357844,-0.29269432
-1.21658273,1.30442394
-1.33503361,-1.21222665
-1.20675821,-1.55784053
1.25480045,1.38612201
-1.29947114,-0.09964371
-0.35922436,-1.2582161
1.2779428,1.29064618
0.84859575,-1.11862739
-0.80935074,-1.02972308
1.16702556,-0.07874665
-1.20259564,-1.6591,
-0.75764823,1.67082033
-1.61519979,1.45431771
-1.52399823,0.62642324
-0.51031819,-0.12061151
-0.95698109,-0.524652,
-0.65482142,0.75467582
1.30178041,-0.28013041
1.11057534,-1.65407744
1.01147342,0.12275176
1.17140452,-0.92010087
-0.41634958,0.71601806
1.22244868,-0.04179427
1.21529018,0.2000056
1.71911696,1.43103553
-0.38547946,1.60640764
0.93380013,0.12119364
1.71797797,0.70660464
-1.04916367,-1.30007045
-0.81461056,0.84656291
0.18716806,-0.32215097
0.90978402,-1.61180494
1.10138199,0.89065769
-1.09920963,-0.35022694
-1.59466844,-1.65325363
1.73613058,-0.007667,
-0.43274227,-1.01636289
1.07920544,0.7438037
-1.71989981,0.96996039
-1.33797055,1.58274689
-0.56924703,-0.13579474
-1.70800099,1.15360365
-0.6546056,0.22807931
1.49407901,-1.15435508
1.28814696,0.03392878
1.48662772,1.14656534
-0.186215,-1.38754669
-1.6203885,1.32575186
-0.07744917,0.59852982
1.33789626,-0.64163316
1.3869361,-1.59886912
-0.75273172,1.10999057
1.23912557,1.56963051
-0.67252304,1.0010785
1.69743417,0.12638624
-0.84768506,-1.55938864
0.9140351,-1.2143778
-0.38091166,-0.62567883
-0.27699895,1.43548386
-0.24539199,1.45878318
1.07298144,-0.69786895
-0.62013685,-0.41647375
0.37895646,0.63434107
1.65261273,1.50635284
0.400583,-1.53425466
0.16931241,-0.2997374
0.16747481,-1.55519511
1.7343737,-1.49722761
-0.77790636,-1.44484319
0.17731565,-0.47873796
-0.42136333,1.03193072
1.4156246,-1.12162842
-0.75602802,-0.06109588
-1.33311012,-0.35881071
-0.6757307,1.49067195
-1.03551889,0.79720026
-0.9752064,0.46714605
0.29676435,-0.1094689
1.11295947,-0.9246722
-0.06704226,1.69944499
