persistence,sim,time,TimeValue,FILE
0.01,1,3.5,23,data/0.01_1_3.5_23.vtu
0.01,2,3.5,23,data/0.01_2_3.5_23.vtu
0.01,3,3.5,23,data/0.01_3_3.5_23.vtu
0.01,4,3.5,23,data/0.01_4_3.5_23.vtu
0.01,5,3.5,23,data/0.01_5_3.5_23.vtu
0.01,6,3.5,23,data/0.01_6_3.5_23.vtu
0.01,7,3.5,23,data/0.01_7_3.5_23.vtu
0.01,8,3.5,23,data/0.01_8_3.5_23.vtu
0.01,9,3.5,23,data/0.01_9_3.5_23.vtu
0.01,10,3.5,23,data/0.01_10_3.5_23.vtu
0.01,11,3.5,23,data/0.01_11_3.5_23.vtu
0.01,12,3.5,23,data/0.01_12_3.5_23.vtu
0.01,13,3.5,23,data/0.01_13_3.5_23.vtu
0.01,14,3.5,23,data/0.01_14_3.5_23.vtu
0.01,15,3.5,23,data/0.01_15_3.5_23.vtu
0.01,16,3.5,23,data/0.01_16_3.5_23.vtu
0.01,17,3.5,23,data/0.01_17_3.5_23.vtu
0.01,18,3.5,23,data/0.01_18_3.5_23.vtu
0.01,19,3.5,23,data/0.01_19_3.5_23.vtu
0.01,20,3.5,23,data/0.01_20_3.5_23.vtu
0.01,21,3.5,23,data/0.01_21_3.5_23.vtu
0.01,22,3.5,23,data/0.01_22_3.5_23.vtu
0.01,23,3.5,23,data/0.01_23_3.5_23.vtu
0.05,1,3.5,2300,data/0.05_1_3.5_2300.vtu
0.05,1,3.6,2300,data/0.05_1_3.6_2300.vtu
0.05,1,3.7,2300,data/0.05_1_3.7_2300.vtu
0.05,1,3.8,2300,data/0.05_1_3.8_2300.vtu
0.05,1,3.9,2300,data/0.05_1_3.9_2300.vtu
0.05,1,4,2300,data/0.05_1_4_2300.vtu
0.05,1,4.2,2300,data/0.05_1_4.2_2300.vtu
0.05,1,4.3,2300,data/0.05_1_4.3_2300.vtu
0.05,1,4.4,2300,data/0.05_1_4.4_2300.vtu
0.05,1,4.5,2300,data/0.05_1_4.5_2300.vtu
0.05,2,3.5,2300,data/0.05_2_3.5_2300.vtu
0.05,2,3.6,2300,data/0.05_2_3.6_2300.vtu
0.05,2,3.7,2300,data/0.05_2_3.7_2300.vtu
0.05,2,3.8,2300,data/0.05_2_3.8_2300.vtu
0.05,2,3.9,2300,data/0.05_2_3.9_2300.vtu
0.05,2,4,2300,data/0.05_2_4_2300.vtu
0.05,2,4.2,2300,data/0.05_2_4.2_2300.vtu
0.05,2,4.3,2300,data/0.05_2_4.3_2300.vtu
0.05,2,4.4,2300,data/0.05_2_4.4_2300.vtu
0.05,2,4.5,2300,data/0.05_2_4.5_2300.vtu
0.05,3,3.5,2300,data/0.05_3_3.5_2300.vtu
0.05,3,3.6,2300,data/0.05_3_3.6_2300.vtu
0.05,3,3.7,2300,data/0.05_3_3.7_2300.vtu
0.05,3,3.8,2300,data/0.05_3_3.8_2300.vtu
0.05,3,3.9,2300,data/0.05_3_3.9_2300.vtu
0.05,3,4,2300,data/0.05_3_4_2300.vtu
0.05,3,4.2,2300,data/0.05_3_4.2_2300.vtu
0.05,3,4.3,2300,data/0.05_3_4.3_2300.vtu
0.05,3,4.4,2300,data/0.05_3_4.4_2300.vtu
0.05,3,4.5,2300,data/0.05_3_4.5_2300.vtu
0.05,4,3.5,2300,data/0.05_4_3.5_2300.vtu
0.05,4,3.6,2300,data/0.05_4_3.6_2300.vtu
0.05,4,3.7,2300,data/0.05_4_3.7_2300.vtu
0.05,4,3.8,2300,data/0.05_4_3.8_2300.vtu
0.05,4,3.9,2300,data/0.05_4_3.9_2300.vtu
0.05,4,4,2300,data/0.05_4_4_2300.vtu
0.05,4,4.2,2300,data/0.05_4_4.2_2300.vtu
0.05,4,4.3,2300,data/0.05_4_4.3_2300.vtu
0.05,4,4.4,2300,data/0.05_4_4.4_2300.vtu
0.05,4,4.5,2300,data/0.05_4_4.5_2300.vtu
0.05,5,3.5,2300,data/0.05_5_3.5_2300.vtu
0.05,5,3.6,2300,data/0.05_5_3.6_2300.vtu
0.05,5,3.7,2300,data/0.05_5_3.7_2300.vtu
0.05,5,3.8,2300,data/0.05_5_3.8_2300.vtu
0.05,5,3.9,2300,data/0.05_5_3.9_2300.vtu
0.05,5,4,2300,data/0.05_5_4_2300.vtu
0.05,5,4.2,2300,data/0.05_5_4.2_2300.vtu
0.05,5,4.3,2300,data/0.05_5_4.3_2300.vtu
0.05,5,4.4,2300,data/0.05_5_4.4_2300.vtu
0.05,5,4.5,2300,data/0.05_5_4.5_2300.vtu
0.05,6,3.5,2300,data/0.05_6_3.5_2300.vtu
0.05,6,3.6,2300,data/0.05_6_3.6_2300.vtu
0.05,6,3.7,2300,data/0.05_6_3.7_2300.vtu
0.05,6,3.8,2300,data/0.05_6_3.8_2300.vtu
0.05,6,3.9,2300,data/0.05_6_3.9_2300.vtu
0.05,6,4,2300,data/0.05_6_4_2300.vtu
0.05,6,4.2,2300,data/0.05_6_4.2_2300.vtu
0.05,6,4.3,2300,data/0.05_6_4.3_2300.vtu
0.05,6,4.4,2300,data/0.05_6_4.4_2300.vtu
0.05,6,4.5,2300,data/0.05_6_4.5_2300.vtu
0.05,7,3.5,2300,data/0.05_7_3.5_2300.vtu
0.05,7,3.6,2300,data/0.05_7_3.6_2300.vtu
0.05,7,3.7,2300,data/0.05_7_3.7_2300.vtu
0.05,7,3.8,2300,data/0.05_7_3.8_2300.vtu
0.05,7,3.9,2300,data/0.05_7_3.9_2300.vtu
0.05,7,4,2300,data/0.05_7_4_2300.vtu
0.05,7,4.2,2300,data/0.05_7_4.2_2300.vtu
0.05,7,4.3,2300,data/0.05_7_4.3_2300.vtu
0.05,7,4.4,2300,data/0.05_7_4.4_2300.vtu
0.05,7,4.5,2300,data/0.05_7_4.5_2300.vtu
0.05,8,3.5,2300,data/0.05_8_3.5_2300.vtu
0.05,8,3.6,2300,data/0.05_8_3.6_2300.vtu
0.05,8,3.7,2300,data/0.05_8_3.7_2300.vtu
0.05,8,3.8,2300,data/0.05_8_3.8_2300.vtu
0.05,8,3.9,2300,data/0.05_8_3.9_2300.vtu
0.05,8,4,2300,data/0.05_8_4_2300.vtu
0.05,8,4.2,2300,data/0.05_8_4.2_2300.vtu
0.05,8,4.3,2300,data/0.05_8_4.3_2300.vtu
0.05,8,4.4,2300,data/0.05_8_4.4_2300.vtu
0.05,8,4.5,2300,data/0.05_8_4.5_2300.vtu
0.05,9,3.5,2300,data/0.05_9_3.5_2300.vtu
0.05,9,3.6,2300,data/0.05_9_3.6_2300.vtu
0.05,9,3.7,2300,data/0.05_9_3.7_2300.vtu
0.05,9,3.8,2300,data/0.05_9_3.8_2300.vtu
0.05,9,3.9,2300,data/0.05_9_3.9_2300.vtu
0.05,9,4,2300,data/0.05_9_4_2300.vtu
0.05,9,4.2,2300,data/0.05_9_4.2_2300.vtu
0.05,9,4.3,2300,data/0.05_9_4.3_2300.vtu
0.05,9,4.4,2300,data/0.05_9_4.4_2300.vtu
0.05,9,4.5,2300,data/0.05_9_4.5_2300.vtu
0.05,10,3.5,2300,data/0.05_10_3.5_2300.vtu
0.05,10,3.6,2300,data/0.05_10_3.6_2300.vtu
0.05,10,3.7,2300,data/0.05_10_3.7_2300.vtu
0.05,10,3.8,2300,data/0.05_10_3.8_2300.vtu
0.05,10,3.9,2300,data/0.05_10_3.9_2300.vtu
0.05,10,4,2300,data/0.05_10_4_2300.vtu
0.05,10,4.2,2300,data/0.05_10_4.2_2300.vtu
0.05,10,4.3,2300,data/0.05_10_4.3_2300.vtu
0.05,10,4.4,2300,data/0.05_10_4.4_2300.vtu
0.05,10,4.5,2300,data/0.05_10_4.5_2300.vtu
0.05,11,3.5,2300,data/0.05_11_3.5_2300.vtu
0.05,11,3.6,2300,data/0.05_11_3.6_2300.vtu
0.05,11,3.7,2300,data/0.05_11_3.7_2300.vtu
0.05,11,3.8,2300,data/0.05_11_3.8_2300.vtu
0.05,11,3.9,2300,data/0.05_11_3.9_2300.vtu
0.05,11,4,2300,data/0.05_11_4_2300.vtu
0.05,11,4.2,2300,data/0.05_11_4.2_2300.vtu
0.05,11,4.3,2300,data/0.05_11_4.3_2300.vtu
0.05,11,4.4,2300,data/0.05_11_4.4_2300.vtu
0.05,11,4.5,2300,data/0.05_11_4.5_2300.vtu
0.05,12,3.5,100,data/0.05_12_3.5_100.vtu
0.05,12,3.6,100,data/0.05_12_3.6_100.vtu
0.05,12,3.7,100,data/0.05_12_3.7_100.vtu
0.05,12,3.8,100,data/0.05_12_3.8_100.vtu
0.05,12,3.9,100,data/0.05_12_3.9_100.vtu
0.05,12,4,100,data/0.05_12_4_100.vtu
0.05,12,4.2,100,data/0.05_12_4.2_100.vtu
0.05,12,4.3,100,data/0.05_12_4.3_100.vtu
0.05,12,4.4,100,data/0.05_12_4.4_100.vtu
0.05,12,4.5,100,data/0.05_12_4.5_100.vtu
0.05,13,3.5,1100,data/0.05_13_3.5_1100.vtu
0.05,13,3.6,1100,data/0.05_13_3.6_1100.vtu
0.05,13,3.7,1100,data/0.05_13_3.7_1100.vtu
0.05,13,3.8,1100,data/0.05_13_3.8_1100.vtu
0.05,13,3.9,1100,data/0.05_13_3.9_1100.vtu
0.05,13,4,1100,data/0.05_13_4_1100.vtu
0.05,13,4.2,1100,data/0.05_13_4.2_1100.vtu
0.05,13,4.3,1100,data/0.05_13_4.3_1100.vtu
0.05,13,4.4,1100,data/0.05_13_4.4_1100.vtu
0.05,13,4.5,1100,data/0.05_13_4.5_1100.vtu
0.05,14,3.5,1100,data/0.05_14_3.5_1100.vtu
0.05,14,3.6,1100,data/0.05_14_3.6_1100.vtu
0.05,14,3.7,1100,data/0.05_14_3.7_1100.vtu
0.05,14,3.8,1100,data/0.05_14_3.8_1100.vtu
0.05,14,3.9,1100,data/0.05_14_3.9_1100.vtu
0.05,14,4,1100,data/0.05_14_4_1100.vtu
0.05,14,4.2,1100,data/0.05_14_4.2_1100.vtu
0.05,14,4.3,1100,data/0.05_14_4.3_1100.vtu
0.05,14,4.4,1100,data/0.05_14_4.4_1100.vtu
0.05,14,4.5,1100,data/0.05_14_4.5_1100.vtu
0.05,15,3.5,1100,data/0.05_15_3.5_1100.vtu
0.05,15,3.6,1100,data/0.05_15_3.6_1100.vtu
0.05,15,3.7,1100,data/0.05_15_3.7_1100.vtu
0.05,15,3.8,1100,data/0.05_15_3.8_1100.vtu
0.05,15,3.9,1100,data/0.05_15_3.9_1100.vtu
0.05,15,4,1100,data/0.05_15_4_1100.vtu
0.05,15,4.2,1100,data/0.05_15_4.2_1100.vtu
0.05,15,4.3,1100,data/0.05_15_4.3_1100.vtu
0.05,15,4.4,1100,data/0.05_15_4.4_1100.vtu
0.05,15,4.5,1100,data/0.05_15_4.5_1100.vtu
0.05,16,3.5,1100,data/0.05_16_3.5_1100.vtu
0.05,16,3.6,1100,data/0.05_16_3.6_1100.vtu
0.05,16,3.7,1100,data/0.05_16_3.7_1100.vtu
0.05,16,3.8,1100,data/0.05_16_3.8_1100.vtu
0.05,16,3.9,1100,data/0.05_16_3.9_1100.vtu
0.05,16,4,1100,data/0.05_16_4_1100.vtu
0.05,16,4.2,1100,data/0.05_16_4.2_1100.vtu
0.05,16,4.3,1100,data/0.05_16_4.3_1100.vtu
0.05,16,4.4,1100,data/0.05_16_4.4_1100.vtu
0.05,16,4.5,1100,data/0.05_16_4.5_1100.vtu
0.05,17,3.5,1100,data/0.05_17_3.5_1100.vtu
0.05,17,3.6,1100,data/0.05_17_3.6_1100.vtu
0.05,17,3.7,1100,data/0.05_17_3.7_1100.vtu
0.05,17,3.8,1100,data/0.05_17_3.8_1100.vtu
0.05,17,3.9,1100,data/0.05_17_3.9_1100.vtu
0.05,17,4,1100,data/0.05_17_4_1100.vtu
0.05,17,4.2,1100,data/0.05_17_4.2_1100.vtu
0.05,17,4.3,1100,data/0.05_17_4.3_1100.vtu
0.05,17,4.4,1100,data/0.05_17_4.4_1100.vtu
0.05,17,4.5,1100,data/0.05_17_4.5_1100.vtu
0.05,18,3.5,1100,data/0.05_18_3.5_1100.vtu
0.05,18,3.6,1100,data/0.05_18_3.6_1100.vtu
0.05,18,3.7,1100,data/0.05_18_3.7_1100.vtu
0.05,18,3.8,1100,data/0.05_18_3.8_1100.vtu
0.05,18,3.9,1100,data/0.05_18_3.9_1100.vtu
0.05,18,4,1100,data/0.05_18_4_1100.vtu
0.05,18,4.2,1100,data/0.05_18_4.2_1100.vtu
0.05,18,4.3,1100,data/0.05_18_4.3_1100.vtu
0.05,18,4.4,1100,data/0.05_18_4.4_1100.vtu
0.05,18,4.5,1100,data/0.05_18_4.5_1100.vtu
0.05,19,3.5,1100,data/0.05_19_3.5_1100.vtu
0.05,19,3.6,1100,data/0.05_19_3.6_1100.vtu
0.05,19,3.7,1100,data/0.05_19_3.7_1100.vtu
0.05,19,3.8,1100,data/0.05_19_3.8_1100.vtu
0.05,19,3.9,1100,data/0.05_19_3.9_1100.vtu
0.05,19,4,1100,data/0.05_19_4_1100.vtu
0.05,19,4.2,1100,data/0.05_19_4.2_1100.vtu
0.05,19,4.3,1100,data/0.05_19_4.3_1100.vtu
0.05,19,4.4,1100,data/0.05_19_4.4_1100.vtu
0.05,19,4.5,1100,data/0.05_19_4.5_1100.vtu
0.05,20,3.5,1100,data/0.05_20_3.5_1100.vtu
0.05,20,3.6,1100,data/0.05_20_3.6_1100.vtu
0.05,20,3.7,1100,data/0.05_20_3.7_1100.vtu
0.05,20,3.8,1100,data/0.05_20_3.8_1100.vtu
0.05,20,3.9,1100,data/0.05_20_3.9_1100.vtu
0.05,20,4,1100,data/0.05_20_4_1100.vtu
0.05,20,4.2,1100,data/0.05_20_4.2_1100.vtu
0.05,20,4.3,1100,data/0.05_20_4.3_1100.vtu
0.05,20,4.4,1100,data/0.05_20_4.4_1100.vtu
0.05,20,4.5,1100,data/0.05_20_4.5_1100.vtu
0.05,21,3.5,1100,data/0.05_21_3.5_1100.vtu
0.05,21,3.6,1100,data/0.05_21_3.6_1100.vtu
0.05,21,3.7,1100,data/0.05_21_3.7_1100.vtu
0.05,21,3.8,1100,data/0.05_21_3.8_1100.vtu
0.05,21,3.9,1100,data/0.05_21_3.9_1100.vtu
0.05,21,4,1100,data/0.05_21_4_1100.vtu
0.05,21,4.2,1100,data/0.05_21_4.2_1100.vtu
0.05,21,4.3,1100,data/0.05_21_4.3_1100.vtu
0.05,21,4.4,1100,data/0.05_21_4.4_1100.vtu
0.05,21,4.5,1100,data/0.05_21_4.5_1100.vtu
0.05,22,3.5,1100,data/0.05_22_3.5_1100.vtu
0.01,1,2.45,483,data/0.01_1_2.45_483.vtu
0.05,22,3.7,1100,data/0.05_22_3.7_1100.vtu
0.05,22,3.8,1100,data/0.05_22_3.8_1100.vtu
0.05,22,3.9,1100,data/0.05_22_3.9_1100.vtu
0.05,22,4,1100,data/0.05_22_4_1100.vtu
0.05,22,4.2,1100,data/0.05_22_4.2_1100.vtu
0.05,22,4.3,1100,data/0.05_22_4.3_1100.vtu
0.05,22,4.4,1100,data/0.05_22_4.4_1100.vtu
0.05,22,4.5,1100,data/0.05_22_4.5_1100.vtu
0.05,23,3.5,1100,data/0.05_23_3.5_1100.vtu
0.05,23,3.6,1100,data/0.05_23_3.6_1100.vtu
0.05,23,3.7,1100,data/0.05_23_3.7_1100.vtu
0.05,23,3.8,1100,data/0.05_23_3.8_1100.vtu
0.05,23,3.9,1100,data/0.05_23_3.9_1100.vtu
0.05,23,4,1100,data/0.05_23_4_1100.vtu
0.05,23,4.2,1100,data/0.05_23_4.2_1100.vtu
0.05,23,4.3,1100,data/0.05_23_4.3_1100.vtu
0.05,23,4.4,1100,data/0.05_23_4.4_1100.vtu
0.05,23,4.5,1100,data/0.05_23_4.5_1100.vtu
0.01,1,3.6,667,data/0.01_1_3.6_667.vtu
0.01,1,3.7,667,data/0.01_1_3.7_667.vtu
0.01,1,3.8,667,data/0.01_1_3.8_667.vtu
0.01,1,3.9,667,data/0.01_1_3.9_667.vtu
0.01,1,4,667,data/0.01_1_4_667.vtu
0.01,1,4.2,667,data/0.01_1_4.2_667.vtu
0.01,1,4.3,667,data/0.01_1_4.3_667.vtu
0.01,1,4.4,667,data/0.01_1_4.4_667.vtu
0.01,1,4.5,667,data/0.01_1_4.5_667.vtu
0.01,2,3.6,667,data/0.01_2_3.6_667.vtu
0.01,2,3.7,667,data/0.01_2_3.7_667.vtu
0.01,2,3.8,667,data/0.01_2_3.8_667.vtu
0.01,2,3.9,667,data/0.01_2_3.9_667.vtu
0.01,2,4,667,data/0.01_2_4_667.vtu
0.01,2,4.2,667,data/0.01_2_4.2_667.vtu
0.01,2,4.3,667,data/0.01_2_4.3_667.vtu
0.01,2,4.4,667,data/0.01_2_4.4_667.vtu
0.01,2,4.5,667,data/0.01_2_4.5_667.vtu
0.01,3,3.6,667,data/0.01_3_3.6_667.vtu
0.01,3,3.7,667,data/0.01_3_3.7_667.vtu
0.01,3,3.8,667,data/0.01_3_3.8_667.vtu
0.01,3,3.9,667,data/0.01_3_3.9_667.vtu
0.01,3,4,667,data/0.01_3_4_667.vtu
0.01,3,4.2,667,data/0.01_3_4.2_667.vtu
0.01,3,4.3,667,data/0.01_3_4.3_667.vtu
0.01,3,4.4,667,data/0.01_3_4.4_667.vtu
0.01,3,4.5,667,data/0.01_3_4.5_667.vtu
0.01,4,3.6,667,data/0.01_4_3.6_667.vtu
0.01,4,3.7,667,data/0.01_4_3.7_667.vtu
0.01,4,3.8,667,data/0.01_4_3.8_667.vtu
0.01,4,3.9,667,data/0.01_4_3.9_667.vtu
0.01,4,4,667,data/0.01_4_4_667.vtu
0.01,4,4.2,667,data/0.01_4_4.2_667.vtu
0.01,4,4.3,667,data/0.01_4_4.3_667.vtu
0.01,4,4.4,667,data/0.01_4_4.4_667.vtu
0.01,4,4.5,667,data/0.01_4_4.5_667.vtu
0.01,5,3.6,667,data/0.01_5_3.6_667.vtu
0.01,5,3.7,667,data/0.01_5_3.7_667.vtu
0.01,5,3.8,667,data/0.01_5_3.8_667.vtu
0.01,5,3.9,667,data/0.01_5_3.9_667.vtu
0.01,5,4,667,data/0.01_5_4_667.vtu
0.01,5,4.2,667,data/0.01_5_4.2_667.vtu
0.01,5,4.3,667,data/0.01_5_4.3_667.vtu
0.01,5,4.4,667,data/0.01_5_4.4_667.vtu
0.01,5,4.5,667,data/0.01_5_4.5_667.vtu
0.01,6,3.6,667,data/0.01_6_3.6_667.vtu
