sim,time,persistence,TimeValue,FILE
1,3.5,0.01,69,data/1_3.5_0.01_69.vtu
1,3.6,0.01,71,data/1_3.6_0.01_71.vtu
1,3.7,0.01,73,data/1_3.7_0.01_73.vtu
1,3.8,0.01,75,data/1_3.8_0.01_75.vtu
1,3.9,0.01,77,data/1_3.9_0.01_77.vtu
1,4,0.01,79,data/1_4_0.01_79.vtu
1,4.2,0.01,83,data/1_4.2_0.01_83.vtu
1,4.3,0.01,85,data/1_4.3_0.01_85.vtu
1,4.4,0.01,87,data/1_4.4_0.01_87.vtu
1,4.5,0.01,89,data/1_4.5_0.01_89.vtu
2,3.5,0.01,69,data/2_3.5_0.01_69.vtu
2,3.6,0.01,71,data/2_3.6_0.01_71.vtu
2,3.7,0.01,73,data/2_3.7_0.01_73.vtu
2,3.8,0.01,75,data/2_3.8_0.01_75.vtu
2,3.9,0.01,77,data/2_3.9_0.01_77.vtu
2,4,0.01,79,data/2_4_0.01_79.vtu
2,4.2,0.01,83,data/2_4.2_0.01_83.vtu
2,4.3,0.01,85,data/2_4.3_0.01_85.vtu
2,4.4,0.01,87,data/2_4.4_0.01_87.vtu
2,4.5,0.01,89,data/2_4.5_0.01_89.vtu
3,3.5,0.01,168,data/3_3.5_0.01_168.vtu
3,3.6,0.01,170,data/3_3.6_0.01_170.vtu
3,3.7,0.01,172,data/3_3.7_0.01_172.vtu
3,3.8,0.01,174,data/3_3.8_0.01_174.vtu
3,3.9,0.01,176,data/3_3.9_0.01_176.vtu
3,4,0.01,178,data/3_4_0.01_178.vtu
3,4.2,0.01,182,data/3_4.2_0.01_182.vtu
3,4.3,0.01,184,data/3_4.3_0.01_184.vtu
3,4.4,0.01,186,data/3_4.4_0.01_186.vtu
3,4.5,0.01,188,data/3_4.5_0.01_188.vtu
4,3.5,0.01,267,data/4_3.5_0.01_267.vtu
4,3.6,0.01,269,data/4_3.6_0.01_269.vtu
4,3.7,0.01,271,data/4_3.7_0.01_271.vtu
4,3.8,0.01,273,data/4_3.8_0.01_273.vtu
4,3.9,0.01,275,data/4_3.9_0.01_275.vtu
4,4,0.01,277,data/4_4_0.01_277.vtu
4,4.2,0.01,281,data/4_4.2_0.01_281.vtu
4,4.3,0.01,283,data/4_4.3_0.01_283.vtu
4,4.4,0.01,285,data/4_4.4_0.01_285.vtu
4,4.5,0.01,287,data/4_4.5_0.01_287.vtu
5,3.5,0.01,366,data/5_3.5_0.01_366.vtu
5,3.6,0.01,368,data/5_3.6_0.01_368.vtu
5,3.7,0.01,370,data/5_3.7_0.01_370.vtu
5,3.8,0.01,372,data/5_3.8_0.01_372.vtu
5,3.9,0.01,374,data/5_3.9_0.01_374.vtu
5,4,0.01,376,data/5_4_0.01_376.vtu
5,4.2,0.01,380,data/5_4.2_0.01_380.vtu
5,4.3,0.01,382,data/5_4.3_0.01_382.vtu
5,4.4,0.01,384,data/5_4.4_0.01_384.vtu
5,4.5,0.01,386,data/5_4.5_0.01_386.vtu
6,3.5,0.01,69,data/6_3.5_0.01_69.vtu
6,3.6,0.01,71,data/6_3.6_0.01_71.vtu
6,3.7,0.01,73,data/6_3.7_0.01_73.vtu
6,3.8,0.01,75,data/6_3.8_0.01_75.vtu
6,3.9,0.01,77,data/6_3.9_0.01_77.vtu
6,4,0.01,79,data/6_4_0.01_79.vtu
6,4.2,0.01,83,data/6_4.2_0.01_83.vtu
6,4.3,0.01,85,data/6_4.3_0.01_85.vtu
6,4.4,0.01,87,data/6_4.4_0.01_87.vtu
6,4.5,0.01,89,data/6_4.5_0.01_89.vtu
7,3.5,0.01,168,data/7_3.5_0.01_168.vtu
7,3.6,0.01,170,data/7_3.6_0.01_170.vtu
7,3.7,0.01,172,data/7_3.7_0.01_172.vtu
7,3.8,0.01,174,data/7_3.8_0.01_174.vtu
7,3.9,0.01,176,data/7_3.9_0.01_176.vtu
7,4,0.01,178,data/7_4_0.01_178.vtu
7,4.2,0.01,182,data/7_4.2_0.01_182.vtu
7,4.3,0.01,184,data/7_4.3_0.01_184.vtu
7,4.4,0.01,186,data/7_4.4_0.01_186.vtu
7,4.5,0.01,188,data/7_4.5_0.01_188.vtu
8,3.5,0.01,267,data/8_3.5_0.01_267.vtu
8,3.6,0.01,269,data/8_3.6_0.01_269.vtu
8,3.7,0.01,271,data/8_3.7_0.01_271.vtu
8,3.8,0.01,273,data/8_3.8_0.01_273.vtu
8,3.9,0.01,275,data/8_3.9_0.01_275.vtu
8,4,0.01,277,data/8_4_0.01_277.vtu
8,4.2,0.01,281,data/8_4.2_0.01_281.vtu
8,4.3,0.01,283,data/8_4.3_0.01_283.vtu
8,4.4,0.01,285,data/8_4.4_0.01_285.vtu
8,4.5,0.01,287,data/8_4.5_0.01_287.vtu
9,3.5,0.01,366,data/9_3.5_0.01_366.vtu
9,3.6,0.01,368,data/9_3.6_0.01_368.vtu
9,3.7,0.01,370,data/9_3.7_0.01_370.vtu
9,3.8,0.01,372,data/9_3.8_0.01_372.vtu
9,3.9,0.01,374,data/9_3.9_0.01_374.vtu
9,4,0.01,376,data/9_4_0.01_376.vtu
9,4.2,0.01,380,data/9_4.2_0.01_380.vtu
9,4.3,0.01,382,data/9_4.3_0.01_382.vtu
9,4.4,0.01,384,data/9_4.4_0.01_384.vtu
